label,timestamp,browDown_L,browDown_R,browInnerUp,browOuterUp_L,browOuterUp_R,cheekPuff,cheekSquint_L,cheekSquint_R,eyeBlink_L,eyeBlink_R,eyeLookDown_L,eyeLookDown_R,eyeLookIn_L,eyeLookIn_R,eyeLookOut_L,eyeLookOut_R,eyeLookUp_L,eyeLookUp_R,eyeSquint_L,eyeSquint_R,eyeWide_L,eyeWide_R,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimple_L,mouthDimple_R,mouthFrown_L,mouthFrown_R,mouthFunnel,mouthLeft,mouthLowerDown_L,mouthLowerDown_R,mouthPress_L,mouthPress_R,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmile_L,mouthSmile_R,mouthStretch_L,mouthStretch_R,mouthUpperUp_L,mouthUpperUp_R,noseSneer_L,noseSneer_R,tongueOut
smirk,1783192414.4990602,0.0289,0.0265,0.1737,0.0000,0.0000,0.0422,0.0939,0.0462,0.1437,0.1433,0.3399,0.3409,0.1298,0.0000,0.0000,0.0089,0.0000,0.0000,0.0482,0.0481,0.0000,0.0000,0.0269,0.0000,0.0345,0.0538,0.0377,0.1384,0.0846,0.0000,0.0000,0.0465,0.2814,0.0635,0.0513,0.1190,0.1113,0.0938,0.0000,0.0846,0.0289,0.2626,0.1724,0.3743,0.1633,0.1213,0.0912,0.0479,0.0243,0.1242,0.0902,0.0000
smirk,1783192416.781649,0.0327,0.0694,0.2059,0.0000,0.0000,0.0539,0.0924,0.2221,0.1596,0.2278,0.3709,0.3713,0.0858,0.0346,0.0000,0.0000,0.0000,0.0000,0.0767,0.0767,0.0000,0.0000,0.0241,0.0105,0.0291,0.0000,0.0314,0.0597,0.1236,0.0000,0.0000,0.0458,0.0000,0.0415,0.0667,0.1437,0.1388,0.0859,0.5648,0.1194,0.0195,0.4118,0.2873,0.1224,0.4675,0.0921,0.1768,0.0283,0.0918,0.1228,0.2130,0.0000
smirk,1783192418.865212,0.2925,0.2933,0.2526,0.0000,0.0000,0.0392,0.3116,0.3009,0.4676,0.4790,0.4272,0.4282,0.1141,0.0040,0.0000,0.0000,0.0000,0.0000,0.3647,0.3654,0.0000,0.0000,0.0436,0.0000,0.0503,0.0112,0.0631,0.0955,0.0881,0.0000,0.0000,0.0538,0.0081,0.0930,0.0879,0.1444,0.1467,0.0762,0.0000,0.1029,0.0307,0.2035,0.1281,0.4599,0.4350,0.1196,0.1150,0.0514,0.0474,0.2057,0.2220,0.0000
smirk,1783192420.965719,0.1400,0.1407,0.2142,0.0000,0.0000,0.0310,0.1618,0.1690,0.2503,0.2520,0.3959,0.3966,0.1044,0.0141,0.0000,0.0000,0.0000,0.0000,0.1145,0.1146,0.0000,0.0000,0.0363,0.0089,0.0532,0.0000,0.0673,0.0721,0.0690,0.0000,0.0000,0.0663,0.0000,0.0996,0.1012,0.1027,0.1067,0.0925,0.0146,0.0969,0.0318,0.1920,0.1107,0.3443,0.3682,0.1335,0.1241,0.0434,0.0490,0.1544,0.1784,0.0000
smirk,1783192423.830343,0.0846,0.0842,0.1983,0.0000,0.0000,0.0491,0.1676,0.1198,0.1998,0.1997,0.4293,0.4286,0.0233,0.0962,0.0000,0.0000,0.0000,0.0000,0.0371,0.0371,0.0000,0.0000,0.0296,0.0000,0.0283,0.0257,0.0328,0.1454,0.1041,0.0000,0.0000,0.0434,0.0901,0.0749,0.0685,0.1614,0.1563,0.0973,0.0000,0.0807,0.0229,0.2990,0.2007,0.6144,0.5070,0.0984,0.0817,0.0827,0.0539,0.2250,0.1717,0.0000
smirk,1783192425.81658,0.2357,0.1688,0.1541,0.0000,0.0000,0.0400,0.5442,0.2493,0.2816,0.2536,0.4688,0.4685,0.0450,0.0740,0.0000,0.0000,0.0000,0.0000,0.1579,0.1556,0.0000,0.0000,0.0310,0.0000,0.0198,0.0750,0.0286,0.1638,0.0702,0.0000,0.0000,0.0259,0.4056,0.0866,0.0466,0.1525,0.1402,0.0671,0.0000,0.1207,0.0144,0.4057,0.3447,0.7778,0.5048,0.1399,0.0816,0.1962,0.0629,0.4106,0.2435,0.0000
smirk,1783192428.460167,0.0624,0.0740,0.1835,0.0000,0.0000,0.0397,0.1144,0.1973,0.1973,0.2104,0.4508,0.4499,0.0105,0.1080,0.0000,0.0000,0.0000,0.0000,0.0357,0.0357,0.0000,0.0000,0.0295,0.0324,0.0242,0.0000,0.0289,0.0955,0.1244,0.0000,0.0000,0.0259,0.0000,0.0714,0.0996,0.1491,0.1596,0.0798,0.2474,0.0791,0.0161,0.2900,0.1991,0.5385,0.6871,0.1082,0.1242,0.0499,0.0914,0.2035,0.2701,0.0000
eyeRoll,1783192435.782867,0.0330,0.0330,0.1617,0.0000,0.0000,0.0288,0.0726,0.0652,0.0000,0.0000,0.0000,0.0000,0.0000,0.2142,0.1233,0.0000,1.0000,1.0000,0.8264,0.8263,0.4719,0.4720,0.0612,0.0000,0.0970,0.0088,0.0916,0.0162,0.0180,0.1450,0.1337,0.0567,0.0000,0.0343,0.0359,0.0642,0.0672,0.1217,0.0363,0.1115,0.0421,0.1426,0.0896,0.0000,0.0000,0.1286,0.1377,0.0063,0.0071,0.0444,0.0453,0.0000
eyeRoll,1783192436.876553,0.0252,0.0253,0.1830,0.0000,0.0000,0.0416,0.0930,0.0888,0.0000,0.0000,0.0000,0.0000,0.0057,0.0813,0.0000,0.0000,1.0000,1.0000,0.7965,0.7964,0.4337,0.4336,0.0765,0.0113,0.1330,0.0000,0.1070,0.0256,0.0289,0.2817,0.2769,0.0645,0.0000,0.0401,0.0385,0.0921,0.0998,0.1329,0.0096,0.1425,0.0520,0.1934,0.1285,0.0000,0.0000,0.2227,0.2124,0.0084,0.0088,0.0618,0.0647,0.0000
eyeRoll,1783192441.1879702,0.0384,0.0357,0.2891,0.0000,0.0000,0.0798,0.0500,0.0502,0.0004,0.0004,0.0000,0.0000,0.0656,0.0429,0.0000,0.0000,0.1442,0.1442,0.0726,0.0726,0.2801,0.2812,0.0764,0.0112,0.1214,0.0000,0.0981,0.0400,0.0457,0.2771,0.3059,0.0527,0.0219,0.0901,0.0844,0.1493,0.1458,0.2454,0.0000,0.1265,0.0353,0.2041,0.1345,0.0000,0.0000,0.3153,0.3056,0.0267,0.0267,0.1069,0.1257,0.0000
